split,filename,question_id,rollout_idx,prefix_idx,label,family,n_tokens,shard,row_in_shard
train,dd_0959_rollout_015_prefix_0.json,dd_0959,15,0,no,daily_dilemmas,687,shard_00007,0
train,gpqa_chem_181_rollout_027_prefix_3.json,gpqa_chem_181,27,3,no,gpqa_chem,687,shard_00007,1
train,race_47510_rollout_007_prefix_1.json,race_47510,7,1,yes,race,687,shard_00007,2
train,race_51608_rollout_025_prefix_0.json,race_51608,25,0,yes,race,687,shard_00007,3
train,race_54968_rollout_010_prefix_1.json,race_54968,10,1,no,race,687,shard_00007,4
train,race_57601_rollout_020_prefix_0.json,race_57601,20,0,yes,race,687,shard_00007,5
train,bb_navigate_228_rollout_013_prefix_0.json,bb_navigate_228,13,0,yes,big_bench,688,shard_00007,6
train,bb_penguins_in_a_table_094_rollout_000_prefix_0.json,bb_penguins_in_a_table_094,0,0,yes,big_bench,689,shard_00007,7
train,dd_0367_rollout_008_prefix_2.json,dd_0367,8,2,no,daily_dilemmas,689,shard_00007,8
train,race_53012_rollout_004_prefix_0.json,race_53012,4,0,no,race,689,shard_00007,9
train,race_8779_rollout_009_prefix_0.json,race_8779,9,0,yes,race,689,shard_00007,10
val,bb_tracking_shuffled_objects_five_objects_v_001_rollout_160_prefix_0.json,bb_tracking_shuffled_objects_five_objects_v_001,160,0,no,eval,689,shard_00007,11
train,bb_snarks_064_rollout_000_prefix_0.json,bb_snarks_064,0,0,yes,big_bench,690,shard_00007,12
train,bb_sports_understanding_038_rollout_027_prefix_0.json,bb_sports_understanding_038,27,0,yes,big_bench,690,shard_00007,13
train,dd_0049_rollout_000_prefix_0.json,dd_0049,0,0,yes,daily_dilemmas,690,shard_00007,14
train,race_27388_rollout_026_prefix_0.json,race_27388,26,0,yes,race,690,shard_00007,15
test,bb_tracking_shuffled_objects_five_objects_t_001_rollout_044_prefix_0.json,bb_tracking_shuffled_objects_five_objects_t_001,44,0,no,eval,691,shard_00007,16
train,bb_causal_judgement_084_rollout_001_prefix_0.json,bb_causal_judgement_084,1,0,yes,big_bench,691,shard_00007,17
train,bb_causal_judgement_170_rollout_015_prefix_0.json,bb_causal_judgement_170,15,0,yes,big_bench,691,shard_00007,18
train,bb_date_understanding_186_rollout_019_prefix_0.json,bb_date_understanding_186,19,0,yes,big_bench,691,shard_00007,19
train,race_54993_rollout_004_prefix_0.json,race_54993,4,0,yes,race,691,shard_00007,20
train,race_55177_rollout_009_prefix_0.json,race_55177,9,0,yes,race,691,shard_00007,21
ood_test,polygon_diagonals_rollout_006_prefix_0.json,polygon_diagonals,6,0,no,eval,692,shard_00007,22
train,bb_logical_deduction_five_objects_046_rollout_023_prefix_3.json,bb_logical_deduction_five_objects_046,23,3,no,big_bench,692,shard_00007,23
train,bb_logical_deduction_five_objects_052_rollout_020_prefix_3.json,bb_logical_deduction_five_objects_052,20,3,no,big_bench,692,shard_00007,24
train,dd_1288_rollout_016_prefix_1.json,dd_1288,16,1,yes,daily_dilemmas,692,shard_00007,25
train,dd_1300_rollout_012_prefix_0.json,dd_1300,12,0,yes,daily_dilemmas,692,shard_00007,26
train,race_21912_rollout_022_prefix_0.json,race_21912,22,0,yes,race,692,shard_00007,27
train,race_23301_rollout_023_prefix_0.json,race_23301,23,0,yes,race,692,shard_00007,28
val,bb_reasoning_about_colored_objects_v_002_rollout_113_prefix_0.json,bb_reasoning_about_colored_objects_v_002,113,0,no,eval,692,shard_00007,29
train,dd_0454_rollout_001_prefix_1.json,dd_0454,1,1,yes,daily_dilemmas,693,shard_00007,30
train,race_8779_rollout_023_prefix_1.json,race_8779,23,1,yes,race,693,shard_00007,31
train,dd_0473_rollout_022_prefix_1.json,dd_0473,22,1,yes,daily_dilemmas,694,shard_00007,32
train,race_31834_rollout_029_prefix_0.json,race_31834,29,0,yes,race,694,shard_00007,33
train,race_42251_rollout_002_prefix_1.json,race_42251,2,1,no,race,694,shard_00007,34
train,bb_logical_deduction_five_objects_080_rollout_026_prefix_1.json,bb_logical_deduction_five_objects_080,26,1,no,big_bench,695,shard_00007,35
train,dd_1274_rollout_021_prefix_0.json,dd_1274,21,0,yes,daily_dilemmas,695,shard_00007,36
train,race_0354_rollout_023_prefix_15.json,race_0354,23,15,no,race,695,shard_00007,37
train,race_12137_rollout_015_prefix_4.json,race_12137,15,4,no,race,695,shard_00007,38
train,race_43479_rollout_000_prefix_13.json,race_43479,0,13,no,race,696,shard_00007,39
train,race_55955_rollout_026_prefix_11.json,race_55955,26,11,no,race,696,shard_00007,40
train,bb_date_understanding_150_rollout_012_prefix_0.json,bb_date_understanding_150,12,0,yes,big_bench,697,shard_00007,41
train,bb_logical_deduction_five_objects_088_rollout_016_prefix_2.json,bb_logical_deduction_five_objects_088,16,2,no,big_bench,697,shard_00007,42
train,bb_navigate_199_rollout_009_prefix_0.json,bb_navigate_199,9,0,yes,big_bench,697,shard_00007,43
train,dd_0314_rollout_025_prefix_0.json,dd_0314,25,0,yes,daily_dilemmas,697,shard_00007,44
train,dd_0576_rollout_000_prefix_2.json,dd_0576,0,2,no,daily_dilemmas,697,shard_00007,45
train,dd_1310_rollout_027_prefix_0.json,dd_1310,27,0,yes,daily_dilemmas,697,shard_00007,46
train,gpqa_chem_154_rollout_027_prefix_1.json,gpqa_chem_154,27,1,no,gpqa_chem,697,shard_00007,47
train,race_7505_rollout_015_prefix_0.json,race_7505,15,0,yes,race,697,shard_00007,48
train,dd_0231_rollout_014_prefix_1.json,dd_0231,14,1,no,daily_dilemmas,698,shard_00007,49
train,dd_0356_rollout_022_prefix_1.json,dd_0356,22,1,yes,daily_dilemmas,698,shard_00007,50
train,dd_1168_rollout_028_prefix_4.json,dd_1168,28,4,no,daily_dilemmas,698,shard_00007,51
train,gpqa_chem_130_rollout_012_prefix_3.json,gpqa_chem_130,12,3,no,gpqa_chem,698,shard_00007,52
train,race_46917_rollout_000_prefix_0.json,race_46917,0,0,yes,race,698,shard_00007,53
