split,filename,question_id,rollout_idx,prefix_idx,label,family,n_tokens,shard,row_in_shard
train,race_58422_rollout_022_prefix_0.json,race_58422,22,0,yes,race,580,shard_00005,0
train,bb_logical_deduction_five_objects_044_rollout_013_prefix_1.json,bb_logical_deduction_five_objects_044,13,1,no,big_bench,581,shard_00005,1
train,bb_logical_deduction_five_objects_044_rollout_022_prefix_0.json,bb_logical_deduction_five_objects_044,22,0,no,big_bench,581,shard_00005,2
train,bb_penguins_in_a_table_093_rollout_016_prefix_0.json,bb_penguins_in_a_table_093,16,0,yes,big_bench,581,shard_00005,3
train,bb_reasoning_about_colored_objects_027_rollout_027_prefix_1.json,bb_reasoning_about_colored_objects_027,27,1,yes,big_bench,581,shard_00005,4
train,bb_reasoning_about_colored_objects_221_rollout_010_prefix_0.json,bb_reasoning_about_colored_objects_221,10,0,yes,big_bench,581,shard_00005,5
train,race_51235_rollout_011_prefix_1.json,race_51235,11,1,no,race,581,shard_00005,6
train,bb_date_understanding_003_rollout_012_prefix_1.json,bb_date_understanding_003,12,1,yes,big_bench,582,shard_00005,7
train,dd_0508_rollout_004_prefix_3.json,dd_0508,4,3,no,daily_dilemmas,582,shard_00005,8
train,bb_sports_understanding_093_rollout_028_prefix_0.json,bb_sports_understanding_093,28,0,yes,big_bench,583,shard_00005,9
train,gpqa_chem_148_rollout_005_prefix_0.json,gpqa_chem_148,5,0,yes,gpqa_chem,583,shard_00005,10
train,race_25592_rollout_001_prefix_3.json,race_25592,1,3,no,race,583,shard_00005,11
train,dd_1013_rollout_018_prefix_0.json,dd_1013,18,0,yes,daily_dilemmas,584,shard_00005,12
train,gpqa_chem_024_rollout_002_prefix_1.json,gpqa_chem_024,2,1,no,gpqa_chem,584,shard_00005,13
train,race_11279_rollout_020_prefix_1.json,race_11279,20,1,no,race,584,shard_00005,14
train,race_49934_rollout_026_prefix_0.json,race_49934,26,0,yes,race,584,shard_00005,15
train,race_8498_rollout_000_prefix_1.json,race_8498,0,1,yes,race,584,shard_00005,16
train,bb_snarks_014_rollout_015_prefix_0.json,bb_snarks_014,15,0,yes,big_bench,585,shard_00005,17
train,race_35070_rollout_028_prefix_2.json,race_35070,28,2,no,race,585,shard_00005,18
train,bb_logical_deduction_five_objects_057_rollout_020_prefix_1.json,bb_logical_deduction_five_objects_057,20,1,no,big_bench,586,shard_00005,19
train,race_6996_rollout_026_prefix_4.json,race_6996,26,4,no,race,586,shard_00005,20
train,bb_causal_judgement_024_rollout_014_prefix_1.json,bb_causal_judgement_024,14,1,yes,big_bench,587,shard_00005,21
train,bb_temporal_sequences_173_rollout_025_prefix_0.json,bb_temporal_sequences_173,25,0,yes,big_bench,587,shard_00005,22
train,gpqa_chem_116_rollout_012_prefix_2.json,gpqa_chem_116,12,2,no,gpqa_chem,587,shard_00005,23
train,race_49309_rollout_004_prefix_0.json,race_49309,4,0,yes,race,587,shard_00005,24
