split,filename,question_id,rollout_idx,prefix_idx,label,family,n_tokens,shard,row_in_shard
train,race_46981_rollout_006_prefix_0.json,race_46981,6,0,yes,race,795,shard_00009,0
train,race_60769_rollout_018_prefix_1.json,race_60769,18,1,yes,race,795,shard_00009,1
train,race_61342_rollout_005_prefix_2.json,race_61342,5,2,no,race,795,shard_00009,2
val,bb_reasoning_about_colored_objects_v_003_rollout_047_prefix_0.json,bb_reasoning_about_colored_objects_v_003,47,0,no,eval,795,shard_00009,3
train,dd_0950_rollout_006_prefix_0.json,dd_0950,6,0,no,daily_dilemmas,796,shard_00009,4
train,race_15942_rollout_028_prefix_0.json,race_15942,28,0,yes,race,796,shard_00009,5
train,race_17299_rollout_003_prefix_0.json,race_17299,3,0,yes,race,796,shard_00009,6
test,bb_logical_deduction_five_objects_t_000_rollout_043_prefix_0.json,bb_logical_deduction_five_objects_t_000,43,0,no,eval,797,shard_00009,7
train,bb_logical_deduction_five_objects_157_rollout_009_prefix_0.json,bb_logical_deduction_five_objects_157,9,0,yes,big_bench,797,shard_00009,8
train,race_1334_rollout_024_prefix_0.json,race_1334,24,0,yes,race,797,shard_00009,9
train,race_42922_rollout_025_prefix_0.json,race_42922,25,0,yes,race,797,shard_00009,10
train,race_61342_rollout_019_prefix_1.json,race_61342,19,1,yes,race,797,shard_00009,11
train,dd_0492_rollout_001_prefix_1.json,dd_0492,1,1,no,daily_dilemmas,798,shard_00009,12
train,gpqa_chem_151_rollout_024_prefix_1.json,gpqa_chem_151,24,1,no,gpqa_chem,798,shard_00009,13
train,race_8406_rollout_001_prefix_0.json,race_8406,1,0,yes,race,798,shard_00009,14
train,dd_0568_rollout_005_prefix_0.json,dd_0568,5,0,no,daily_dilemmas,799,shard_00009,15
train,dd_0980_rollout_015_prefix_2.json,dd_0980,15,2,no,daily_dilemmas,799,shard_00009,16
train,race_12070_rollout_022_prefix_3.json,race_12070,22,3,yes,race,799,shard_00009,17
train,race_1879_rollout_015_prefix_0.json,race_1879,15,0,yes,race,799,shard_00009,18
train,race_34055_rollout_017_prefix_2.json,race_34055,17,2,yes,race,799,shard_00009,19
val,bb_logical_deduction_five_objects_v_001_rollout_105_prefix_0.json,bb_logical_deduction_five_objects_v_001,105,0,no,eval,799,shard_00009,20
val,bb_temporal_sequences_v_001_rollout_150_prefix_0.json,bb_temporal_sequences_v_001,150,0,yes,eval,799,shard_00009,21
train,race_58589_rollout_003_prefix_23.json,race_58589,3,23,no,race,800,shard_00009,22
train,dd_1056_rollout_025_prefix_0.json,dd_1056,25,0,yes,daily_dilemmas,801,shard_00009,23
train,gpqa_chem_115_rollout_025_prefix_2.json,gpqa_chem_115,25,2,no,gpqa_chem,801,shard_00009,24
train,race_11809_rollout_026_prefix_2.json,race_11809,26,2,yes,race,801,shard_00009,25
train,race_20515_rollout_005_prefix_0.json,race_20515,5,0,no,race,801,shard_00009,26
train,bb_causal_judgement_093_rollout_029_prefix_0.json,bb_causal_judgement_093,29,0,yes,big_bench,802,shard_00009,27
train,bb_reasoning_about_colored_objects_245_rollout_008_prefix_0.json,bb_reasoning_about_colored_objects_245,8,0,yes,big_bench,802,shard_00009,28
