split,filename,question_id,rollout_idx,prefix_idx,label,family,n_tokens,shard,row_in_shard
train,dd_0510_rollout_004_prefix_0.json,dd_0510,4,0,yes,daily_dilemmas,1272,shard_00014,0
train,dd_0015_rollout_000_prefix_1.json,dd_0015,0,1,yes,daily_dilemmas,1273,shard_00014,1
train,dd_0354_rollout_022_prefix_0.json,dd_0354,22,0,yes,daily_dilemmas,1274,shard_00014,2
train,race_24066_rollout_012_prefix_0.json,race_24066,12,0,yes,race,1274,shard_00014,3
train,dd_0347_rollout_003_prefix_0.json,dd_0347,3,0,yes,daily_dilemmas,1276,shard_00014,4
train,bb_logical_deduction_five_objects_118_rollout_015_prefix_1.json,bb_logical_deduction_five_objects_118,15,1,yes,big_bench,1277,shard_00014,5
test,gpqa_chem_t_003_rollout_054_prefix_0.json,gpqa_chem_t_003,54,0,no,eval,1279,shard_00014,6
train,gpqa_chem_136_rollout_009_prefix_0.json,gpqa_chem_136,9,0,yes,gpqa_chem,1282,shard_00014,7
train,race_11809_rollout_001_prefix_0.json,race_11809,1,0,yes,race,1282,shard_00014,8
train,race_26278_rollout_014_prefix_2.json,race_26278,14,2,no,race,1282,shard_00014,9
train,dd_0179_rollout_029_prefix_0.json,dd_0179,29,0,yes,daily_dilemmas,1283,shard_00014,10
train,bb_temporal_sequences_096_rollout_019_prefix_0.json,bb_temporal_sequences_096,19,0,yes,big_bench,1284,shard_00014,11
train,dd_1270_rollout_006_prefix_0.json,dd_1270,6,0,yes,daily_dilemmas,1286,shard_00014,12
ood_test,chessboard_squares_rollout_000_prefix_1.json,chessboard_squares,0,1,yes,eval,1288,shard_00014,13
train,race_3536_rollout_000_prefix_0.json,race_3536,0,0,yes,race,1288,shard_00014,14
train,bb_web_of_lies_210_rollout_011_prefix_0.json,bb_web_of_lies_210,11,0,yes,big_bench,1290,shard_00014,15
train,gpqa_chem_028_rollout_025_prefix_3.json,gpqa_chem_028,25,3,no,gpqa_chem,1291,shard_00014,16
train,race_27388_rollout_009_prefix_2.json,race_27388,9,2,yes,race,1291,shard_00014,17
train,dd_0528_rollout_026_prefix_0.json,dd_0528,26,0,yes,daily_dilemmas,1292,shard_00014,18
train,bb_reasoning_about_colored_objects_185_rollout_002_prefix_1.json,bb_reasoning_about_colored_objects_185,2,1,yes,big_bench,1296,shard_00014,19
train,dd_0728_rollout_010_prefix_0.json,dd_0728,10,0,yes,daily_dilemmas,1296,shard_00014,20
train,bb_web_of_lies_067_rollout_007_prefix_4.json,bb_web_of_lies_067,7,4,no,big_bench,1297,shard_00014,21
train,bb_causal_judgement_126_rollout_019_prefix_0.json,bb_causal_judgement_126,19,0,yes,big_bench,1298,shard_00014,22
train,bb_web_of_lies_017_rollout_029_prefix_3.json,bb_web_of_lies_017,29,3,no,big_bench,1299,shard_00014,23
train,dd_0121_rollout_018_prefix_0.json,dd_0121,18,0,yes,daily_dilemmas,1299,shard_00014,24
