split,filename,question_id,rollout_idx,prefix_idx,label,family,n_tokens,shard,row_in_shard
train,bb_snarks_121_rollout_003_prefix_0.json,bb_snarks_121,3,0,yes,big_bench,454,shard_00003,0
train,bb_sports_understanding_013_rollout_017_prefix_2.json,bb_sports_understanding_013,17,2,yes,big_bench,454,shard_00003,1
train,race_1402_rollout_028_prefix_1.json,race_1402,28,1,yes,race,454,shard_00003,2
train,dd_0261_rollout_021_prefix_1.json,dd_0261,21,1,no,daily_dilemmas,455,shard_00003,3
train,bb_penguins_in_a_table_094_rollout_010_prefix_3.json,bb_penguins_in_a_table_094,10,3,no,big_bench,456,shard_00003,4
train,bb_reasoning_about_colored_objects_067_rollout_006_prefix_1.json,bb_reasoning_about_colored_objects_067,6,1,yes,big_bench,456,shard_00003,5
train,gpqa_chem_121_rollout_024_prefix_1.json,gpqa_chem_121,24,1,no,gpqa_chem,456,shard_00003,6
train,bb_penguins_in_a_table_009_rollout_015_prefix_0.json,bb_penguins_in_a_table_009,15,0,yes,big_bench,457,shard_00003,7
train,bb_penguins_in_a_table_036_rollout_001_prefix_1.json,bb_penguins_in_a_table_036,1,1,yes,big_bench,457,shard_00003,8
train,dd_0473_rollout_025_prefix_1.json,dd_0473,25,1,no,daily_dilemmas,458,shard_00003,9
train,dd_0015_rollout_027_prefix_2.json,dd_0015,27,2,no,daily_dilemmas,459,shard_00003,10
train,dd_1157_rollout_028_prefix_1.json,dd_1157,28,1,no,daily_dilemmas,459,shard_00003,11
train,race_31620_rollout_015_prefix_2.json,race_31620,15,2,no,race,459,shard_00003,12
train,race_31900_rollout_006_prefix_0.json,race_31900,6,0,yes,race,459,shard_00003,13
train,bb_logical_deduction_five_objects_046_rollout_026_prefix_1.json,bb_logical_deduction_five_objects_046,26,1,no,big_bench,460,shard_00003,14
train,bb_penguins_in_a_table_093_rollout_023_prefix_0.json,bb_penguins_in_a_table_093,23,0,yes,big_bench,460,shard_00003,15
train,race_51973_rollout_006_prefix_3.json,race_51973,6,3,no,race,460,shard_00003,16
train,bb_causal_judgement_072_rollout_024_prefix_1.json,bb_causal_judgement_072,24,1,no,big_bench,461,shard_00003,17
train,bb_logical_deduction_five_objects_013_rollout_004_prefix_1.json,bb_logical_deduction_five_objects_013,4,1,no,big_bench,461,shard_00003,18
train,bb_navigate_080_rollout_000_prefix_0.json,bb_navigate_080,0,0,yes,big_bench,461,shard_00003,19
train,bb_reasoning_about_colored_objects_067_rollout_001_prefix_1.json,bb_reasoning_about_colored_objects_067,1,1,yes,big_bench,461,shard_00003,20
train,dd_0386_rollout_016_prefix_3.json,dd_0386,16,3,no,daily_dilemmas,461,shard_00003,21
train,dd_0716_rollout_015_prefix_2.json,dd_0716,15,2,no,daily_dilemmas,461,shard_00003,22
train,bb_logical_deduction_five_objects_072_rollout_014_prefix_1.json,bb_logical_deduction_five_objects_072,14,1,no,big_bench,463,shard_00003,23
train,dd_0603_rollout_006_prefix_0.json,dd_0603,6,0,no,daily_dilemmas,463,shard_00003,24
train,race_23457_rollout_022_prefix_0.json,race_23457,22,0,no,race,463,shard_00003,25
train,race_52724_rollout_028_prefix_3.json,race_52724,28,3,no,race,463,shard_00003,26
train,bb_causal_judgement_103_rollout_014_prefix_0.json,bb_causal_judgement_103,14,0,yes,big_bench,464,shard_00003,27
train,dd_0238_rollout_009_prefix_1.json,dd_0238,9,1,no,daily_dilemmas,464,shard_00003,28
train,bb_navigate_058_rollout_021_prefix_0.json,bb_navigate_058,21,0,yes,big_bench,465,shard_00003,29
train,bb_sports_understanding_168_rollout_012_prefix_0.json,bb_sports_understanding_168,12,0,yes,big_bench,465,shard_00003,30
train,bb_web_of_lies_229_rollout_012_prefix_2.json,bb_web_of_lies_229,12,2,no,big_bench,465,shard_00003,31
